model,episode,step,waiting_time,queue_length,mean_speed
Random,1,416,283.0,19,3.976996001832894
Random,1,417,182.0,18,5.130081285930011
Random,1,418,185.0,22,4.352823897906856
Random,1,419,315.0,29,2.8947666047687513
Random,1,420,345.0,33,2.6391739457422925
Random,1,421,313.0,28,3.256008292139
Random,1,422,233.0,21,3.539695509158526
Random,1,423,172.0,19,3.2436492627730784
Random,1,424,188.0,22,2.3893385200120827
Random,1,425,288.0,27,2.1603530171325303
Random,1,426,444.0,34,1.6550004861796141
Random,1,427,486.0,36,1.3698703611060197
Random,1,428,477.0,34,2.409162132741943
Random,1,429,454.0,28,2.892930163407212
Random,1,430,428.0,27,2.2854943286290665
Random,1,431,456.0,26,1.513367174195369
Random,1,432,300.0,29,2.6701029050676097
Random,1,433,324.0,28,3.212863717133545
Random,1,434,339.0,32,2.7501081467276194
Random,1,435,324.0,35,2.9820957096811327
Random,1,436,294.0,29,3.0529925704383576
Random,1,437,287.0,26,2.270216785149229
Random,1,438,239.0,25,1.7697007490117238
Random,1,439,384.0,32,2.7413681265219125
Random,1,440,562.0,37,2.035954684554222
Random,1,441,572.0,41,1.2912565952578423
Random,1,442,644.0,42,2.239312221898723
Random,1,443,835.0,42,1.8970580500151435
Random,1,444,1057.0,46,1.8076363826988424
Random,1,445,1023.0,41,1.4674334856602922
Random,1,446,808.0,33,3.636179598482568
Random,1,447,646.0,25,5.38265992300453
Random,1,448,304.0,15,4.6953932710010635
Random,1,449,51.0,13,4.432544531094098
Random,1,450,113.0,19,3.2967155238512564
Random,1,451,237.0,30,2.6207477572256273
Random,1,452,400.0,36,1.4699359058899846
Random,1,453,604.0,45,1.3683504299532174
Random,1,454,787.0,48,1.6026699590132076
Random,1,455,1028.0,49,1.0149568761237417
Random,1,456,1050.0,48,1.3450822592552276
Random,1,457,913.0,38,2.0883664513976283
Random,1,458,804.0,32,3.1274201966411592
Random,1,459,685.0,28,1.849105181693649
Random,1,460,623.0,28,2.5188491778032125
Random,1,461,784.0,35,3.061828704399402
Random,1,462,622.0,39,2.3632843625133146
Random,1,463,441.0,39,1.9690008173189262
Random,1,464,477.0,41,2.1653210553223854
Random,1,465,437.0,36,2.6776267675997785
Random,1,466,409.0,32,3.1007689207211686
Random,1,467,356.0,30,2.0285159133062245
Random,1,468,304.0,26,2.9115246994248203
Random,1,469,274.0,24,2.7860896365665186
Random,1,470,410.0,35,2.49106666355153
Random,1,471,615.0,47,1.0603609618958296
Random,1,472,720.0,53,0.8668925099466245
Random,1,473,720.0,43,2.1637115122360226
Random,1,474,613.0,33,2.4924602305379473
Random,1,475,472.0,22,4.175098518810505
Random,1,476,480.0,23,4.6448084160585
Random,1,477,260.0,28,2.45149672107194
Random,1,478,339.0,35,3.0060432715298373
Random,1,479,382.0,36,1.9721371120020434
Random,1,480,390.0,37,2.7395204292530524
Random,1,481,279.0,25,2.7715625851172203
Random,1,482,250.0,22,4.311929573865181
Random,1,483,197.0,18,4.353044517733258
Random,1,484,220.0,16,3.8145962911998175
Random,1,485,136.0,17,3.083329365726533
Random,1,486,169.0,17,3.5701597356656136
Random,1,487,210.0,19,3.7555304537206116
Random,1,488,321.0,25,2.8378185783528505
Random,1,489,349.0,31,3.247047685452063
Random,1,490,528.0,39,2.80097002547357
Random,1,491,732.0,41,1.6982654279650358
Random,1,492,918.0,42,1.382010217424111
Random,1,493,1128.0,42,1.8745062277032283
Random,1,494,1342.0,44,1.839349204607632
Random,1,495,1450.0,38,1.2659706315424946
Random,1,496,1640.0,38,2.8072737512502757
Random,1,497,1830.0,38,3.345585189845831
Random,1,498,2020.0,38,2.3470726371367627
Random,1,499,2216.0,42,0.5193269324859774
Random,1,500,2436.0,44,0.5182089476170461
Random,1,501,2614.0,41,1.0792284023864929
Random,1,502,2823.0,42,1.7086465341093307
Random,1,503,3035.0,44,1.0480782908913517
Random,1,504,3255.0,44,2.064676199895821
Random,1,505,3350.0,38,2.255373005329405
Random,1,506,3543.0,41,2.0198775428960585
Random,1,507,3759.0,44,2.024343802826913
Random,1,508,3979.0,44,1.7241954607596583
Random,1,509,3481.0,40,1.3909742696361749
Random,1,510,2486.0,30,2.4501155866179705
Random,1,511,1521.0,20,4.033540138478295
Random,1,512,711.0,17,4.3156078341387705
Random,1,513,237.0,20,3.370195897140375
Random,1,514,363.0,29,2.1859779514632547
Random,1,515,524.0,34,1.120839488155853
Random,1,516,487.0,37,1.1495525820052614
Random,1,517,650.0,39,2.451478011791255
Random,1,518,638.0,34,3.701636594619297
Random,1,519,518.0,27,4.356787023428287
Random,1,520,338.0,18,3.5434776566277595
Random,1,521,197.0,20,3.311667611613857
Random,1,522,163.0,20,2.684776851522055
Random,1,523,286.0,28,2.076637498419288
Random,1,524,330.0,29,1.6602725518988797
Random,1,525,493.0,36,2.750450705599181
Random,1,526,694.0,42,2.714657801827529
Random,1,527,694.0,37,1.1771771823977237
Random,1,528,565.0,31,2.757796862037351
Random,1,529,456.0,21,3.602058638530975
Random,1,530,321.0,20,3.516207258223497
